1,1
2,2
3,3
4,500
5,5
6,6
7,7
8,8
9,90
10,200
11,5
12,6
13,7
14,8
15,7
16,9
17,1
18,3
19,9
20,6
21,3
22,7
23,1
24,10
25,10
26,4
27,5
28,9
29,5
30,3
31,2
32,2
33,7
34,7
35,9
36,10
37,7
38,5
39,100
40,1
41,9
42,2
43,7
44,4
45,4
46,2
47,3
48,3
49,1
50,8
51,9
52,4
53,4
54,5
55,80
56,2
57,5
58,1
59,2
60,5
61,4
62,8
63,10
64,1
65,2
66,7
67,4
68,6
69,1
70,10
71,7
72,3
73,60
74,5
75,9
76,1
77,5
78,7
79,1
80,2
81,4
82,6
83,4
84,4
85,4
86,3
87,1
88,2
89,1
90,90
91,8
92,8
93,1
94,2
95,8
96,8
97,7
98,7
99,3
100,2
101,5
102,5
103,10
104,7
105,4
106,8
107,5
108,1
109,2
110,5
111,8
112,3
113,700
114,2
115,10
116,9
117,6
118,2
119,10
120,10
121,10
122,9
123,10
124,8
125,9
126,5
127,5
128,4
129,6
130,6
131,8
132,10
133,9
134,9
135,5
136,2
137,8
138,1000
139,10
140,4
141,5
142,4
143,1
144,2
145,4
146,6
147,9
148,7
149,5
150,4
151,7
152,5
153,2
154,10
155,7
156,4
157,3
158,8
159,7
160,10
161,3
162,7
163,1
164,4
165,2
166,400
167,8
168,9
169,10
170,6
171,7
172,7
173,7
174,6
175,2
176,1
177,2
178,9
179,3
180,10
181,4
182,4
183,3
184,3
185,5
186,7
187,5
188,5
189,6
190,1
191,7
192,1
193,2
194,10
195,3
196,2
197,1
198,300
199,10
200,1
201,10
202,1
203,5
204,3
205,1
206,8
207,4
208,5
209,5
210,2
211,4
212,7
213,9
214,1
215,700
216,6
217,4
218,9
219,1
220,9
221,9
222,3
223,10
224,3
225,2
226,9
227,5
228,8
229,9
230,3
231,7
232,300
233,9
234,5
235,1
236,5
237,1
238,1
239,4
240,7
241,6
242,8
243,2
244,3
245,7
246,4
247,6
248,6
249,7
250,300
251,6
252,1
253,6
254,1
255,3
256,1
257,5
258,2
259,5
260,5
261,2
262,2
263,1
264,8
265,40
266,10
267,8
268,5
269,6
270,9
271,6
272,8
273,3
274,3
275,5
276,2
277,4
278,9
279,80
280,9
281,3
282,2
283,2
284,6
285,6
286,9
287,10
288,3
289,6
290,2
291,6
292,300
293,1
294,2
295,6
296,10
297,8
298,2
299,7
300,5
301,6
302,8
303,1
304,8
305,2
306,2
307,8
308,6
309,4
310,8
311,7
312,1
313,6
314,1
315,7
316,60
317,1
318,10
319,6
320,7
321,5
322,6
323,4
324,9
325,5
326,3
327,45
328,5
329,7
330,6
331,6
332,2
333,5
334,10
335,7
336,4
337,3
338,7
339,1
340,6
341,10
342,600
343,1
344,1
345,4
346,5
347,3
348,4
349,6
350,10
351,3
352,4
353,7
354,5
355,2
356,5
357,8
358,7
359,5
360,3
361,7
362,2
363,10
364,9
365,2
366,8
367,600
368,9
369,6
370,2
371,9
372,9
373,7
374,3
375,5
376,1
377,8
378,5
379,7
380,1
381,7
382,8
383,6
384,6
385,5
386,10
387,10
388,6
389,900
390,2
391,4
392,7
393,7
394,4
395,10
396,8
397,3
398,7
399,1
400,2
401,9
402,8
403,8
404,7
405,1
406,10
407,9
408,5
409,5
410,5
411,100
412,6
413,3
414,5
415,6
416,9
417,5
418,3
419,10
420,8
421,6
422,1
423,70
424,2
425,10
426,10
427,8
428,1
429,9
430,2
431,1
432,6
433,3
434,10
435,2
436,1
437,3
438,10
439,600
440,3
441,4
442,2
443,4
444,4
445,6
446,6
447,8
448,4
449,1
450,9
451,7
452,3
453,5
454,3
455,3
456,6
457,2
458,400
459,6
460,1
461,7
462,3
463,5
464,9
465,1
466,8
467,1
468,5
469,7
470,2
471,10
472,2
473,3
474,9
475,5
476,2
477,6
478,10
479,9
480,300
481,5
482,9
483,10
484,5
485,2
486,6
487,1
488,5
489,6
490,1
491,3
492,2
493,8
494,5
495,5
496,4
497,4
498,3
499,9
500,800
